"","address","price","area"
"99","安和路一段明星學區格局方正採..",59000,49.4
"100","信義路四段交通便利寬敞空間生..",47000,33.2
"101","信義路四段警衛管理◎生活機能..",78000,60.6
"102","仁愛路三段新裝潢格局方..",50000,26.9
"103","敦化南路一段交通便利浪漫優雅..",118700,60.6
"104","信義路二段東門捷運採光明亮方..",86000,86.5
"105","敦化南路二段新居落成▲採光通..",35000,31.1
"106","忠孝東路四段忠孝敦化，東區靜..",42500,39.9
"107","仁愛路四段採光好通風佳大坪數..",130000,75
"108","信義路三段採光通風◇格局方正..",65000,41.3
"109","仁愛路四段金碧輝煌。優雅浪漫..",110000,65.3
"110","和平東路一段183巷森林公園◇..",120000,79.6
"111","復興南路一段綠意盎然的環境享..",49000,37.9
"112","通安街信義安和站高樓景觀採光..",49898,24.9
"113","信義路三段147巷溫馨公..",30000,29
"114","光復南路MTR信義安和生..",35000,23.5
"115","仁愛路四段222巷MRT忠孝敦化..",32000,12.9
"116","通安街MRT信義安和、管理佳、..",45000,26.1
"117","建國南路一段大安森林公園旁精..",34000,18.5
"118","瑞安街208巷近捷運精選稀有優..",34000,29.6
"119","建國南路一段近捷運大安森林公..",34000,18.5
"120","復興南路忠孝復興大微風對面公..",22000,11
"121","和平東路二段118巷捷運科技大..",19000,12.5
"122","羅斯福路二段漂亮時尚裝潢~採..",100000,40
"123","市民大道四段東區小豪宅..",30000,14
"124","安和路二段★六張犁遠企★林蔭..",60000,47
"125","復興南路一段忠孝復興站/格局..",33000,27
"126","信義路二段198巷近大安森林公..",35000,13.7
"127","安和路一段旺德美客§近忠孝敦..",80000,45.1
"128","復興南路一段135巷旺德美客§..",30000,19.6
"129","安和路一段敦南誠品旁全新裝潢..",80000,45.1
"130","信義路三段147巷旺德美客§近..",65000,39.5
"131","瑞安街120巷10年內新成屋、生..",125000,86.6
"132","光復南路近捷運臨江夜市旁精選..",105000,60
"133","忠孝東路三段248巷旺德美客§..",52000,48.7
"134","安和路一段交通便利適合家庭鄰..",68000,51.5
"135","光復南路近臨江夜市~2+1書房~..",100000,60
"136","樂業街近六張犁捷運站、舒適木..",66000,58
"137","仁愛路四段旺德美客§近捷運忠..",110000,54
"138","永康街37巷旺德美客§近東門站..",50000,42.5
"139","安和路二段181巷安和遠企景觀..",85000,53
"140","樂利路5巷旺德美客★近捷運信..",150000,34.3
"141","建國南路一段旺德美客★捷運大..",34000,18.5
"142","新生南路二段★大安森林公園★..",208888,151
"143","建國南路一段270巷旺德美客◆..",120000,36.7
"144","和平東路一段74巷旺德美客◆近..",35000,25
"145","光復南路旺德美客◆近基隆路*..",50000,22.3
"146","師大路105巷旺德美客§近師大..",30000,19.5
"147","和平東路二段建國南路和平東路..",32000,25
"148","瑞安街208巷★近捷運大安★稀..",33999,29.6
"149","安和路二段59巷★近捷運信義安..",73999,31.4
"150","和平東路一段183巷旺德美客§..",130000,53.6
"151","建國南路一段★近大安森林公園..",33999,18.5
"152","和平東路三段★近捷運六張犁★..",119999,80.9
"153","光復南路邊間2房/精美裝潢/..",35000,21
"154","仁愛路四段仁愛圓環名宅091861..",110000,65.3
"155","和平東路三段464巷★近捷運麟..",69999,55.8
"156","敦化南路一段近忠孝東路四段<U+2729>..",119990,62.4
"157","延吉街近國父紀念館站☆生活機..",40000,28
"158","新生南路一段近捷運忠孝新生☆..",120000,58.6
"159","敦化南路二段舊鑽綠蔭高樓景觀..",88000,75.9
"160","敦化南路一段233巷忠孝敦化東..",40000,43.9
"161","光復南路國館站華廈0918..",37000,38.8
"162","忠孝東路三段248巷SOGO一樓09..",48000,48.7
"163","復興南路一段旺德美客Φ信義路..",108000,36.8
"164","建國南路二段25巷捷運公園一樓..",46000,22
"165","新生南路一段161巷旺德美客Φ..",270000,59.5
"166","信義路二段明亮溫馨小屋，近捷..",34000,10.8
"167","建國南路一段近仁愛路美裝潢<U+263C>..",120000,70
"168","仁愛路四段仁愛復興俯瞰國父紀..",119000,59.8
"169","仁愛路四段近國父紀念館/管理..",38000,27.4
"170","敦化南路一段近仁愛圓環.東區..",85000,91.5
"171","和平東路三段近捷運六張犁站*..",60000,58.7
"172","仁愛路四段71巷~私立復興高級..",70000,67
"173","忠孝東路三段精華地段,千載難..",48000,48.7
"174","復興南路一段都市核心,風光旖..",108000,56
"175","建國南路一段270巷建國花市大..",119999,71
"176","安和路二段信義安和遠企樹海名..",120000,62
"177","光復南路精華地段,質感設計,..",50000,32.8
"178","光復南路美樂【優質社區高樓層..",105000,60
"179","臥龍街近麟光站.精美裝潢.綠..",60000,36.9
"180","忠孝東路三段248巷進忠孝復興..",48000,48.7
"181","光復南路高樓景觀、近信義安和..",105000,60
"182","泰順街44巷師大7-11雅緻店面",70000,36
"183","師大路台電捷運師大路口三樓",20000,12
"184","忠孝東路四段忠孝敦化精緻歐洲..",79000,47.4
"185","安和路一段近仁愛敦南圓環、忠..",80000,45.1
"186","仁愛路四段進仁愛圓環、忠孝敦..",110000,65.3
"187","安和路一段仁愛學區優質名宅",59000,49.4
"188","安和路一段敦南安和優質名宅",80000,45
"189","安和路二段名宅美屋~雙捷運~..",60000,59
"190","安和路二段217巷遠企靜..",38000,31.7
"191","通化街六張黎頂加2房",18000,13.1
"192","和平東路三段遠企六張捷運大廈",65000,59
