"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"265","光復南路240巷<U+2764>快!正一房<U+2764>..",29000,11,3,11,1,1,1
"266","安和路一段仁愛國小正對面安和..",59000,51,4,16,2,2,4
"267","臥龍街魔術格局★看101★採光..",24800,19.5,11,14,1,1,2
"268","復興南路二段科技大樓站三房美..",40000,41.2,8,18,2,2,3
"269","和平東路三段六張犁時尚頂客族",36000,23.4,6,10,1,1,1
"270","四維路華廈.稀少大戶...",46000,58,4,6,2,2,4
"271","和平東路三段1巷成功國宅美屋",35000,30.6,12,17,2,1,2
"273","師大路105巷近捷運台電大樓站..",30000,19.5,6,10,2,1,2
"274","信義路四段近安和捷運站-",47000,33.2,2,12,2,2,3
"275","瑞安街208巷近捷運大安站~近..",31000,29.6,4,7,2,2,2
"276","市民大道四段近忠孝敦化捷運站..",29000,11.5,4,10,1,1,2
"277","敦化南路二段11巷一層一戶~近..",35000,15,2,7,1,1,2
"278","浦城街16巷浦城街16巷（台灣師..",45000,33.5,1,4,2,2,4
"279","金山南路二段和平大苑高樓(3房..",80000,45.4,9,14,2,2,3
"280","和平東路二段96巷4分鐘到台大..",22000,20,4,5,2,1,2
"281","瑞安街近復興南路☆精緻裝潢3+..",125000,86.6,5,11,2,3,4
"282","忠孝東路三段248巷捷運忠孝復..",40000,42.7,11,12,2,2,3
"283","建國南路一段捷運3分鐘~高檔..",34000,18.5,6,13,1,1,2
"284","仁愛路四段忠孝敦化捷運站**仁..",58000,45.3,12,14,1,1,3
"285","忠孝東路三段248巷捷運忠孝復..",48000,42,1,14,2,2,3
"286","忠孝東路三段★忠孝復興SOGO★..",40000,42.7,11,14,2,2,3
"287","安和路二段3+1房*使用面積大..",90000,68.3,5,25,2,2,4
"288","和平東路二段★捷運科技大樓★..",75000,41.6,13,13,2,2,1
"289","仁愛路三段118巷★大安捷運師..",50000,26.9,2,6,2,2,2
"290","羅斯福路三段★近古亭台電師大..",78000,44.4,12,25,2,2,3
"291","羅斯福路三段台電大樓豪宅三房",77888,45,12,25,2,2,3
"292","羅斯福路三段安心租台大優質豪..",78888,45,12,25,2,2,3
"293","復興南路一段~近sogo商圈純住..",55000,47,4,15,2,2,3
"294","信義路四段信義安和站出站即到..",47000,33.2,2,12,2,2,3
"295","忠孝東路三段近捷運忠孝復興☆..",47800,48.7,1,14,2,2,3
"296","忠孝東路三段248巷【安心租】..",48000,38,1,16,2,3,3
"297","仁愛路四段近忠孝敦化站☆仁愛..",36000,19.2,4,14,2,1,2
"298","忠孝東路三段忠孝復興<U+272A>SOGO<U+272A>..",65000,51.5,5,10,2,2,4
"299","延吉街近仁愛路捷運國父紀念館..",25500,19.3,7,7,1,1,1
